threshold,sens_mean,sens_std,spec_mean,spec_std,ppv_mean,ppv_std,npv_mean,npv_std,f1_mean,f1_std,acc_mean,acc_std,ap_mean,ap_std,auc_mean_trn,auc_mean,auc_std,tp_sum,fp_sum,tn_sum,fn_sum
0.05,0.8687943262411348,0.051526276318983474,0.8913977987235899,0.03842527233615933,0.32790252443844675,0.06683707453500465,0.9916848900849118,0.0030565737796325603,0.4722236265759201,0.06992130328974015,0.8800960624823624,0.02150695504690318,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,206,447,3669,31
0.1,0.8053191489361702,0.07847772907690662,0.9336774056553694,0.025968012146900348,0.4285435854950774,0.10438541001664203,0.9882036954227615,0.004539408261625353,0.5536298476082085,0.09283287073045718,0.8694982772957698,0.038759840375053686,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,191,273,3843,46
0.15,0.7674645390070921,0.07643520163044848,0.9531125765315152,0.01882478894838204,0.5002496730330728,0.09417480196499951,0.9862238616918007,0.004253740913606596,0.599779780056729,0.06784077758766818,0.8602885577693037,0.03392037301034924,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,182,193,3923,55
0.2,0.7338652482269503,0.05466038443542488,0.9611299531668417,0.01610944873397701,0.5365118862237551,0.09443717573636931,0.9843579333010423,0.002919288663545685,0.6140868762377591,0.05638227024333982,0.8474976006968961,0.022447529874442224,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,174,160,3956,63
0.25,0.7086879432624114,0.0709146439018938,0.9669607993488185,0.015513322551843569,0.5723418443059799,0.10445697818414572,0.9830105720991165,0.003873682295263586,0.6250523685033549,0.04809511481115867,0.837824371305615,0.029490651577736875,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,168,136,3980,69
0.3,0.7044326241134752,0.07660454272921528,0.9710905519706496,0.014354503827188487,0.6039024073590298,0.1076542954347235,0.9828402336564489,0.004192494540548376,0.6419521988645529,0.04900616439498751,0.8377615880420624,0.03303989396615452,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,167,119,3997,70
0.35,0.6918439716312057,0.06135254586248774,0.9744918543335418,0.012966607674193944,0.6286556834525482,0.10152980854957278,0.9821629155773921,0.003280327139556638,0.6514448594280327,0.04095280407901599,0.8331679129823737,0.025404666733944013,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,164,105,4011,73
0.4,0.6792553191489362,0.06594457664412744,0.9764350765020232,0.01343268511273767,0.645999615940491,0.11069970126852123,0.9814784909897607,0.0035534212340908628,0.6541556265892211,0.04840317419611171,0.8278451978254797,0.02829778772972293,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,161,97,4019,76
0.45,0.6497340425531914,0.08088561341873998,0.9803227005155186,0.010976382237302672,0.6758879893420783,0.10542687514623372,0.9798920061786001,0.004406526850980576,0.6536900938098812,0.03669953501121684,0.8150283715343551,0.03599817337348761,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,154,81,4035,83
0.5,0.6245567375886525,0.08525861827605778,0.9827525392537366,0.00918127654683919,0.6939469641846552,0.09860001259342835,0.9785161640666168,0.004676679503232517,0.6488699771025006,0.037041981506484016,0.8036546384211946,0.03896473711101066,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,148,71,4045,89
0.55,0.6034574468085105,0.0825346992065156,0.984695761422218,0.00954630613781925,0.7172303732303732,0.12039403979676828,0.9773730420304915,0.004509799897604755,0.6459321131265323,0.04682650860803415,0.7940766041153643,0.03800929753171369,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,143,63,4053,94
0.6,0.5907801418439715,0.07453559924999294,0.9863965600632307,0.008207398551494572,0.734545042259328,0.11061340607839787,0.9766996167626868,0.004055959590501146,0.6465766287491534,0.03561008472145952,0.7885883509536011,0.03406087834350976,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,140,56,4060,97
0.65,0.573758865248227,0.07524084027353868,0.9873683186070379,0.007610626403163389,0.7428976697061803,0.10999198868460607,0.975782640342141,0.004044823471996433,0.639446803071745,0.03541226827016112,0.7805635919276324,0.034645669364468064,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,136,52,4064,101
0.7,0.548581560283688,0.06862312015888694,0.9880970637851101,0.0069948054317749584,0.7452283768140545,0.10188268069744762,0.9743941206176541,0.003694562417515391,0.6243043997714405,0.02147641937722684,0.768339312034399,0.03111226965147981,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,130,49,4067,107
0.75,0.5273049645390071,0.0763020589910741,0.9900405808727246,0.006446818248948489,0.7728763949229066,0.10613944119378452,0.9732816209129911,0.004029174861368644,0.6186388345292455,0.031407232819662984,0.758672772705866,0.0353008201589444,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,125,41,4075,112
0.8,0.5146276595744681,0.07831331674561617,0.9924692399344099,0.005787180085070724,0.8188147659854976,0.11998971405540207,0.9726475473281484,0.004150865473318012,0.6236069199215267,0.04144024101206317,0.7535484497544391,0.036891542356578315,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,122,31,4085,115
0.85,0.48945035460992903,0.07331163641538577,0.9941700385754226,0.003971704774997787,0.842922077922078,0.10007544800956963,0.9713005402180297,0.003956267048117639,0.6129975683849631,0.047000306003078376,0.7418101965926759,0.03525069464161124,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,116,24,4092,121
0.9,0.4472517730496454,0.0752149832817568,0.9958711321355684,0.0035998984794706375,0.8753076988371106,0.08957719713942272,0.969051745394404,0.004027045095306546,0.5859404295186,0.05308489779135027,0.721561452592607,0.03629145645477135,0.7199548787769455,0.06361419222128399,0.9996535402749418,0.9359582955899592,0.025938667552658747,106,17,4099,131
